N00010000034000000TARA 34G            
N00020000002000000TARA 2G             
N00030000004000000TARA 4G             
N00040000014000000TARA 14G            
N00050000020000000TARA 20G            
N00060000008000000TARA 8G             
N00070000016000000TARA 16G            
N00080000010000000TARA 10G            
N00090000005000000TARA 5G             
N00100000013000000TARA 13G            
N00110000040000000TARA 40G            
N00120000006000000TARA 6G             
N00130000003000000TARA 3G             
N00140000007000000TARA 7G             
N00150000018000000TARA 18G            
N00160000012000000TARA 12G            
N00170000050000000TARA 50G            
N00180000200000000TARA 200G           
N00190000028000000TARA 28G            
N00200000030000000TARA 30G            
N00210000032000000TARA 32G            
N00220000025000000TARA 25G            
N00230000058000000TARA 58G            
N00240000068000000TARA 68G            
N00250000078000000TARA 78G            
N00260000036000000TARA 36G            
N00270000060000000TARA 60G            
N00280000052000000TARA 52G            
N00290000038000000TARA 38G            
N00300000072000000TARA 72G            
N00310000024000000TARA 24G            
N00320000105000000TARA 10.5G          
N00330000017000000TARA 17G            
N00340000022000000TARA 22G            
N00350000026000000TARA 26G            
N00360000021000000TARA 21G            
N00370000082000000TARA 82G            
N00380000009000000TARA 9G             
N00390000042000000TARA 42G            
N00400000047000000TARA 47G            
N00410000258000000TARA 258G           
N00420000062000000TARA 62G            
N00430000070000000TARA 70G            
